Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date,Profit Percentage
Fantastic Four,166424,Action,Moving Picture Company,120000000,167977596,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",2015-08-05,28.561901790760242
Poltergeist,243688,Horror,TSG Entertainment,35000000,95437994,"Legendary filmmaker Sam Raimi and director Gil Kenan reimagine and contemporize the classic tale about a family whose suburban home is invaded by angry spirits. When the terrifying apparitions escalate their attacks and take the youngest daughter, the family must come together to rescue her.",2015-05-20,63.32697437039593
Spotlight,314365,Drama,Universal Pictures,20000000,88346473,"The true story of how The Boston Globe uncovered the massive scandal of child abuse and the cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",2015-11-06,77.36185801101534
Run All Night,241554,Action,RatPac-Dune Entertainment,50000000,71561644,"Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his past—as well as a dogged police detective who’s been one step behind Jimmy for 30 years. But when Jimmy’s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.",2015-03-11,30.13016861378981
Trainwreck,271718,Comedy,Universal Pictures,35000000,140795793,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",2015-07-17,75.14130269503153
Maggie,287424,Horror,Sly Predator,4000000,187112,"There's a deadly zombie epidemic threatening humanity, but Wade, a small-town farmer and family man, refuses to accept defeat even when his daughter Maggie becomes infected. As Maggie's condition worsens and the authorities seek to eradicate those with the virus, Wade is pushed to the limits in an effort to protect her. Joely Richardson co-stars in this post-apocalyptic thriller.",2015-05-08,-2037.7570652871007
Self/less,238615,Science Fiction,Ram Bergman Productions,26000000,30523226,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,2015-07-10,14.818964417457053
The Gift,328425,Thriller,Huayi Brothers Media,5000000,58978653,"A husband and wife try to reinvigorate their relationship but their lives are threatened by a ""friend"" from the husband's past who holds a horrifying secret about him, sending their world into a tailspin.",2015-07-30,91.52235640240886
The Visit,298312,Horror,Blumhouse Productions,5000000,98450062,"The terrifying story of a brother and sister who are sent to their grandparents' remote Pennsylvania farm for a weeklong trip. Once the children discover that the elderly couple is involved in something deeply disturbing, they see their chances of getting back home are growing smaller every day.",2015-09-10,94.92128303586036
Home,228161,Fantasy,DreamWorks Animation,135000000,368871007,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",2015-03-18,63.40184036204287
Blackhat,201088,Crime,Universal Pictures,70000000,17752940,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,2015-01-13,-294.30088762762676
The Wedding Ringer,252838,Comedy,Screen Gems,23000000,79799880,"Doug Harris is a loveable but socially awkward groom-to-be with a problem: he has no best man.  With less than two weeks to go until he marries the girl of his dreams, Doug is referred to Jimmy Callahan, owner and CEO of Best Man, Inc., a company that provides flattering best men for socially challenged guys in need.  What ensues is a hilarious wedding charade as they try to pull off the big con, and an unexpected budding bromance between Doug and his fake best man Jimmy.",2015-01-16,71.17790152065392
Tracers,290764,Action,Melbarken,11000000,593683,"Wanted by the mafia, a New York City bike messenger escapes into the world of parkour after meeting a beautiful stranger.",2015-01-15,-1752.8406573878651
The DUFF,272693,Romance,Wonderland Sound and Vision,8500000,43528634,"Bianca's universe turns upside down when she learns that her high school refers to her as a ‘DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFF… and that's totally fine.",2015-02-20,80.47262406626406
Concussion,321741,Drama,Village Roadshow Pictures,35000000,50363790,"A dramatic thriller based on the incredible true David vs. Goliath story of American immigrant Dr. Bennet Omalu, the brilliant forensic neuropathologist who made the first discovery of CTE, a football-related brain trauma, in a pro player and fought for the truth to be known. Omalu's emotional quest puts him at dangerous odds with one of the most powerful institutions in the world.",2015-11-12,30.505627157924376
The Good Dinosaur,105864,Adventure,Pixar,175000000,331926147,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,2015-11-14,47.277428554009035
The Last Witch Hunter,274854,Fantasy,NeoReel,90000000,146936910,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.",2015-10-21,38.74922237033568
Wolf Totem,309302,Adventure,Edko Films,38000000,123205624,"In 1969, a young Beijing student, Chen Zhen, is sent to live among the nomadic herdsmen of Inner Mongolia. Caught between the advance of civilization from the south and the nomads' traditional enemies - the marauding wolves - to the north; humans and animals, residents and invaders alike, struggle to find their true place in the world",2015-02-19,69.1572521072577
Burnt,295964,Drama,PeaPie Films,20000000,36606743,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",2015-10-02,45.365256887235226
Little Boy,256962,Comedy,Santa Fé Films,20000000,6485961,An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.,2015-04-23,-208.35831421126335
The Night Before,296100,Comedy,Sony Pictures,25000000,52395996,"In New York City for their annual tradition of Christmas Eve debauchery, three lifelong best friends set out to find the Holy Grail of Christmas parties since their yearly reunion might be coming to an end.",2015-11-20,52.28643043640206
The Lady in the Van,328589,Comedy,TriStar Productions,6000000,41387687,"The true story of the relationship between Alan Bennett and the singular Miss Shepherd, a woman of uncertain origins who ‘temporarily’ parked her van in Bennett’s London driveway and proceeded to live there for 15 years.",2015-11-13,85.50293472548974
Unfinished Business,239573,Comedy,Studio Babelsberg,35000000,14431253,"A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way, including unplanned stops at a massive sex fetish event and a global economic summit.",2015-03-05,-142.52918301688703
Anomalisa,291270,Animation,Starburns Industries,8000000,5659286,A man crippled by the mundanity of his life experiences something out of the ordinary.,2015-12-30,-41.3605885972188
Sinister 2,283445,Horror,Tank Caterpillar,10000000,52882018,A young mother and her twin sons move into a rural house that's marked for death.,2015-08-19,81.08998034076536
Victor Frankenstein,228066,Drama,Davis Entertainment,40000000,34227298,Eccentric scientist Victor Von Frankenstein creates a grotesque creature in an unorthodox scientific experiment.,2015-11-10,-16.865783562582124
Get Hard,257091,Comedy,Gary Sanchez Productions,40000000,111811453,"When obscenely rich hedge-fund manager James is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell-- a black businessman who's never even had a parking ticket -- for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other.",2015-03-26,64.22548949435439
Pawn Sacrifice,245698,Thriller,PalmStar Media,19000000,5578519,American chess champion Bobby Fischer prepares for a legendary match-up against Russian Boris Spassky.,2015-09-16,-240.59218943235652
The 33,293646,Drama,Alcon Entertainment,25000000,24902723,"Based on a true story about the collapse at the mine in San Jose, Chile that  left 33 miners isolated underground for 69 days.",2015-08-06,-0.3906279646607321
Macbeth,225728,History,Anton Capital Entertainment (ACE),15000000,12601706,"Feature film adaptation of Shakespeare's Scottish play about General Macbeth whose ambitious wife urges him to use wicked means in order to gain power of the throne over the sitting king, Duncan.",2015-08-16,-19.031502560050203
Manglehorn,254905,Drama,Worldview Entertainment,4000000,143101,"AJ Manglehorn is an aging, ordinary guy in a small town. He nurses his sick cat, squeezes out a conversation with the local bank teller every Friday, and eats at the same place every day.  But there is more to Manglehorn than meets the eye: he’s an ex-con who, 40 years ago, gave up the woman of his dreams for a big ‘job’. He now obsesses daily over the choices he made. After a dramatic effort to start over, Manglehorn faces a terrifying moment and is unmasked as a guy with a very, very dark past.",2015-06-03,-2695.2285448739003
By the Sea,314385,Drama,Pellikola,10000000,3727746,"Set in France during the mid-1970s, Vanessa, a former dancer, and her husband Roland, an American writer, travel the country together. They seem to be growing apart, but when they linger in one quiet, seaside town they begin to draw close to some of its more vibrant inhabitants, such as a local bar/café-keeper and a hotel owner.",2015-11-12,-168.25862062490307
No Escape,192141,Action,Living Films,5000000,54418872,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediately executed.",2015-08-26,90.81201095090688
Danny Collins,256924,Comedy,ShivHans Pictures,10000000,10835752,An ageing rock star decides to change his life when he discovers a 40-year-old letter written to him by John Lennon.,2015-03-19,7.712911849588289
The Wave,336882,Action,Film Väst,5904067,12975143,"Based on the fact that mountain party Åkneset, located in the Geiranger fjord in Norway, one day will race out and create a violent tsunami of over 80 meters that will crush everything in its path before it hits land in Geiranger. A geologist gets caught in the middle of it and a race against time begins.",2015-08-28,54.49709494531197
Colonia,318781,Thriller,Majestic Filmproduktion,14000000,3621046,"A young woman's desperate search for her abducted boyfriend that draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from.",2015-09-13,-286.6286150465915
The Transporter Refueled,287948,Thriller,EuropaCorp,25000000,72629670,"The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this installment, he meets Anna and they attempt to take down a group of ruthless Russian human traffickers who also have kidnapped Frank’s father.",2015-09-03,65.57880546614076
Eye in the Sky,333352,Drama,Entertainment One,13000000,18704595,A military officer in command of a drone operation to capture terrorists in Kenya sees her mission escalate from “capture” to “kill” just as a nine-year old girl enters the kill zone.,2015-09-11,30.498361498872335
The Peanuts Movie,227973,Adventure,Twentieth Century Fox Animation,99000000,246233113,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home.",2015-11-05,59.79419713546
Finding Dory,127380,Adventure,Pixar,200000000,1028570889,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,2016-06-16,80.55554535531873
Kung Fu Panda 3,140300,Action,Oriental DreamWorks,145000000,521170825,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",2016-01-23,72.17802819257966
Arrival,329865,Thriller,Paramount,47000000,203388186,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",2016-11-10,76.89147982272677
Now You See Me 2,291805,Action,Summit Entertainment,90000000,334901337,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",2016-06-02,73.12641364581951
Manchester by the Sea,334541,Drama,Amazon Studios,9000000,75026965,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",2016-11-18,88.00431284938688
Hidden Figures,381284,Drama,Fox 2000 Pictures,25000000,230698791,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",2016-12-10,89.1633589011743
The Magnificent Seven,333484,Adventure,Escape Artists,90000000,162360636,Seven gun men in the old west gradually come together to help a poor village against savage thieves.,2016-09-14,44.567844634459306
Moonlight,376867,Drama,Pastel,4000000,65046687,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",2016-10-21,93.85057074467143
Suicide Squad,297761,Action,Atlas Entertainment,176000000,745600054,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",2016-08-02,76.39485149500807
Hell or High Water,338766,Crime,OddLot Entertainment,12000000,37589296,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,2016-08-12,68.076018236681
The Nice Guys,290250,Action,Silver Pictures,50000000,62788218,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,2016-05-15,20.367225583627807
10 Cloverfield Lane,333371,Thriller,Spectrum Effects,15000000,108286421,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",2016-03-10,86.14784766041903
War Dogs,308266,Comedy,The Mark Gordon Company,40000000,86234523,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",2016-08-17,53.61486489581441
Ice Age: Collision Course,278154,Adventure,Blue Sky Studios,105000000,408579038,"Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and encountering a host of colorful new characters.",2016-06-23,74.30117792778199
Lion,334543,Drama,The Weinstein Company,12000000,140302754,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",2016-11-24,91.44706738971068
Underworld: Blood Wars,346672,Action,Lakeshore Entertainment,35000000,81093313,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",2016-11-28,56.83984448878048
Trolls,136799,Adventure,DreamWorks Animation,125000000,346864462,"Lovable and friendly, the trolls love to play around. But one day, a mysterious giant shows up to end the party. Poppy, the optimistic leader of the Trolls, and her polar opposite, Branch, must embark on an adventure that takes them far beyond the only world they’ve ever known.",2016-10-13,63.9628691624223
Sing,335797,Animation,Illumination Entertainment,75000000,632443719,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,2016-11-23,88.14123727584999
The Accountant,302946,Crime,Zero Gravity Management,44000000,155160045,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",2016-10-14,71.6421840429345
Independence Day: Resurgence,47933,Action,Centropolis Entertainment,165000000,389681935,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",2016-06-22,57.657775436780256
Ghostbusters,43074,Action,Ghostcorps,144000000,229147509,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",2016-07-14,37.15838298726607
The Conjuring 2,259693,Horror,New Line Cinema,40000000,320170008,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,2016-05-13,87.50663741120937
The Purge: Election Year,316727,Action,Why Not Productions,10000000,118587880,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",2016-06-29,91.56743505322804
Assassin's Creed,121856,Action,New Regency Pictures,125000000,240697856,"Through unlocked genetic memories that allow him to relive the adventures of his ancestor in 15th century Spain, Callum Lynch discovers he's a descendant of the secret 'Assassins' society. After gaining incredible knowledge and skills, he is now poised to take on the oppressive Knights Templar in the present day.",2016-12-21,48.067672027789065
The Great Wall,311324,Action,Legendary Pictures,150000000,331957105,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,2016-12-16,54.813438923080135
Kubo and the Two Strings,313297,Animation,Focus Features,60000000,69929545,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.",2016-08-18,14.199355937465343
Sausage Party,223702,Adventure,Columbia Pictures,19000000,140705322,"Sausage Party, the first R-rated CG animated movie, is about one sausage leading a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.",2016-07-11,86.49660174190142
Allegiant,262504,Adventure,Mandeville Films,110000000,179246868,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,2016-03-09,38.632121594448165
Central Intelligence,302699,Action,Principato-Young Entertainment,50000000,216972543,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.",2016-06-15,76.95560953995917
Nerve,328387,Mystery,Keep Your Head,19000000,85241496,"Industrious high school senior, Vee Delmonico, has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.",2016-07-27,77.71038650002107
Me Before You,296096,Drama,New Line Cinema,20000000,207945075,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",2016-06-02,90.38207565146709
Inferno,207932,Mystery,Mid Atlantic Films,75000000,220021259,"After waking up in a hospital with amnesia, professor Robert Langdon and a doctor must race against time to foil a deadly global plot.",2016-10-13,65.91238485731962
Warcraft,68735,Action,Legendary Pictures,160000000,433677183,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",2016-05-25,63.106198280207884
Sully,363676,Drama,"Kennedy/Marshall Company, The",60000000,238470033,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the frigid waters of the Hudson River, saving the lives of all 155 aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career.",2016-09-07,74.8396059474693
Criminal,302156,Action,Millennium Films,31500000,14708696,"Bill Pope is a CIA agent on a mission in London tracking down a shadowy hacker nicknamed ""The Dutchman."" When he gets mysteriously ambushed and killed, an experimental procedure is used to transfer his memories into dangerous ex-convict Jericho Stewart. When he wakes up with the CIA agent's memories, his mission is to find The Dutchman and eliminate him before the hacker launches ICBM's and starts World War III. But complications soon arise and the mission turns personal.",2016-04-14,-114.15902538199173
How to Be Single,259694,Comedy,New Line Cinema,38000000,112343513,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.",2016-01-21,66.17517203685807
Deepwater Horizon,296524,Drama,TIK Film,110000000,121790373,"A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history.",2016-09-29,9.680874365989501
Bad Moms,376659,Comedy,STX Entertainment,20000000,183936074,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",2016-07-28,89.12665712327859
The Witch,310131,Mystery,Very Special Projects,3500000,40423945,"In 1630s New England, William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness, exiled from their settlement when William defies the local church. When their newborn son vanishes and crops mysteriously fail, the family turns on one another.",2016-02-19,91.34176538187948
Don't Breathe,300669,Crime,Ghost House Pictures,9900000,159047649,A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.,2016-08-25,93.77545027402448
Why Him?,356305,Comedy,21 Laps Entertainment,38000000,118034273,A dad forms a bitter rivalry with his daughter's young rich boyfriend.,2016-12-22,67.80596090086478
Incarnate,241258,Horror,WWE Studios,5000000,6341855,An exorcist comes up against an evil from his past when he uses his skills to enter the mind of a nine year old boy.,2016-12-01,21.158714603219405
My Big Fat Greek Wedding 2,302688,Romance,Universal Pictures,18000000,88923251,"The continuing adventures of the Portokalos family. A follow-up to the 2002 comedy, ""My Big Fat Greek Wedding.""",2016-03-23,79.75782509346178
Lights Out,345911,Horror,Atomic Monster,4900000,148868835,"When Rebecca left home, she thought she left her childhood fears behind. Growing up, she was never really sure of what was and wasn’t real when the lights went out…and now her little brother, Martin, is experiencing the same unexplained and terrifying events that had once tested her sanity and threatened her safety. A frightening entity with a mysterious attachment to their mother, Sophie, has reemerged.",2016-07-21,96.70851189236484
Neighbors 2: Sorority Rising,325133,Comedy,Perfect World Pictures,35000000,108758521,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.,2016-05-04,67.818613495121
Silence,68730,Drama,Waypoint Entertainment,46000000,23737523,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",2016-12-22,-93.7860154995953
Alice Through the Looking Glass,241259,Adventure,Legend3D,170000000,299370084,"In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.",2016-05-25,43.21409884095166
Mechanic: Resurrection,278924,Action,Davis-Films,40000000,125729635,"Arthur Bishop thought he had put his murderous past behind him when his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best, make them look like accidents.",2016-08-25,68.18570259907301
Term Life,257440,Thriller,WWE Studios,16500000,21256,"If Nick Barrow can stay alive for 21 days, he'll die happy. Everyone Nick knows wants him dead; Mob bosses, contract killers, and dirty cops. Performing the last act of a desperate man, Nick takes out a million dollar insurance policy on himself, payable to his estranged daughter. The problem? The policy doesn't take effect for 21 days. Nick knows they'll be lucky to be alive for twenty-one hours.",2016-04-29,-77525.14113662024
13 Hours: The Secret Soldiers of Benghazi,300671,Action,Paramount,50000000,69411370,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,2016-01-13,27.965692076096467
The Monkey King 2,381902,Action,Filmko Pictures,68490000,193677158,"Taking place 500 years after the Havoc in Heaven, the Tang Priest is appointed by Buddha to go to the West to fetch the sacred scriptures, only to accidentally free the Monkey King. With Lady White (Gong Li) aiming to break up the team assembled to defeat her, the Monkey King must fight in order to save his world!",2016-01-22,64.63702756315745
Friend Request,368031,Horror,Wiedemann & Berg Filmproduktion,9900000,2400000,"Enjoying college life as a popular student, Laura shares everything with her more  than 800 friends on Facebook. But one day, after accepting a friend request from a  social outcast named Marina, Laura’s life is cursed...",2016-01-07,-312.5
Midnight Special,245703,Adventure,Faliro House Productions,18000000,6212282,A father and son go on the run after the dad learns his child possesses special powers.,2016-02-18,-189.7485980192142
Grimsby,267193,Action,Working Title Films,35000000,25182929,"Wrongfully accused and on the run, a top MI6 assassin joins forces with his long-lost, football hooligan brother to save the world from a sinister plot.",2016-02-24,-38.98303886732159
Triple 9,146198,Action,Surefire Capital,20000000,12639297,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,2016-02-19,-58.23664876298105
The Angry Birds Movie,153518,Adventure,Sony Pictures Animation,73000000,349779543,"An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it’s up to these unlikely outcasts to figure out what the pigs are up to.",2016-05-11,79.129711425119
Ride Along 2,323675,Action,Reel Chefs Catering,40000000,124827316,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",2016-01-14,67.95573174063921
Bridget Jones's Baby,95610,Comedy,Working Title Films,35000000,211952420,"Breaking up with Mark Darcy leaves Bridget Jones over 40 and single again. Feeling that she has everything under control, Jones decides to focus on her career as a top news producer. Suddenly, her love life comes back from the dead when she meets a dashing and handsome American named Jack. Things couldn't be better, until Bridget discovers that she is pregnant. Now, the befuddled mom-to-be must figure out if the proud papa is Mark or Jack.",2016-09-14,83.48685992828013
Masterminds,213681,Action,Broadway Video,25000000,29200000,A night guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history.,2016-09-29,14.383561643835616
Swiss Army Man,347031,Comedy,A24,3000000,4210454,"Alone on a tiny deserted island, Hank has given up all hope of ever making it home again. But one day everything changes when a dead body washes ashore, and he soon realizes it may be his last opportunity to escape certain death. Armed with his new “friend” and an unusual bag of tricks, the duo go on an epic adventure to bring Hank back to the woman of his dreams.",2016-06-24,28.74877626023227
Pete's Dragon,294272,Adventure,Walt Disney Pictures,65000000,143695338,"Pete is a mysterious 10-year-old with no family and no home who claims to live in the woods with a giant, green dragon named Elliott. With the help of Natalie, an 11-year-old girl whose father Jack owns the local lumber mill, forest ranger Grace sets out to determine where Pete came from, where he belongs, and the truth about this dragon.",2016-08-10,54.76540790766643
Nocturnal Animals,340666,Drama,Universal Pictures,22500000,29252978,"Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.",2016-11-04,23.08475396932237
Teenage Mutant Ninja Turtles: Out of the Shadows,308531,Fantasy,5150 Action,135000000,245623848,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",2016-06-01,45.03791016253438
Train to Busan,396535,Action,NEW,8820000,87547518,"Martial law is declared when a mysterious viral outbreak pushes Korea into a state of emergency. Those on an express train to Busan, a city that has successfully fended off the viral outbreak, must fight for their own survival…",2016-07-20,89.92547110244747
Zoolander 2,329833,Comedy,Scott Rudin Productions,50000000,55969000,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,2016-02-06,10.66483231789026
Robinson Crusoe: The Wild Life,368940,Adventure,uFilm,13500000,3342697,"On a tiny exotic island, Tuesday, an outgoing parrot lives with his quirky animal friends in paradise. However, Tuesday can't stop dreaming about discovering the world. After a violent storm, Tuesday and his friends wake up to find a strange creature on the beach: Robinson Crusoe. Tuesday immediately views Crusoe as his ticket off the island to explore new lands. Likewise, Crusoe soon realizes that the key to surviving on the island is through the help of Tuesday and the other animals. It isn't always easy at first, as the animals don't speak ""human."" Slowly but surely, they all start living together in harmony, until one day, when their comfortable life is overturned by two savage cats, who wish to take control of the island. A battle ensues between the cats and the group of friends but Crusoe and the animals soon discover the true power of friendship up against all odds (even savage cats).",2016-02-04,-303.8655014199612
