Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date,Profit Percentage
The Game Plan,13680,Comedy,Monkey Dance Productions,22000000,147880543,"Bachelor football star Joe Kingman seems to have it all. He is wealthy and carefree, and his team is on the way to capturing a championship. Suddenly, he is tackled by some unexpected news: He has a young daughter, the result of a last fling with his ex-wife. Joe must learn to balance his personal and professional lives with the needs of his child.",2007-09-28,85.12312738802967
August Rush,5123,Family,CJ Entertainment,25000000,66122026,"A drama with fairy tale elements, where an orphaned musical prodigy uses his gift as a clue to finding his birth parents.",2007-11-21,62.19111616452889
Charlie Wilson's War,6538,Comedy,Universal Pictures,75000000,119000410,"The true story of Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets had some unforeseen and long-reaching effects.",2007-12-19,36.97500706090005
No Reservations,3638,Comedy,Castle Rock Entertainment,28000000,92601050,"Master chef Kate Armstrong runs her life and her kitchen with intimidating intensity. However, a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brash sous-chef who just joined her staff. Though romance blooms in the face of rivalry, Kate needs to look outside the kitchen to find true happiness.",2007-07-25,69.76276186933086
We Own the Night,2001,Drama,Industry Entertainment,21000000,54926886,A New York nightclub manager tries to save his brother and father from Russian mafia hitmen.,2007-05-25,61.76735742856422
Love in the Time of Cholera,6639,Drama,New Line Cinema,45000000,4607608,"In Colombia just after the Great War, an old man falls from a ladder; dying, he professes great love for his wife. After the funeral, a man calls on the widow - she dismisses him angrily. Flash back more than 50 years to the day Florentino Ariza, a telegraph boy, falls in love with Fermina Daza, the daughter of a mule trader.",2007-10-04,-876.6455826971392
The Invisible,9785,Crime,Sonet Film AB,30000000,26810113,After an attack leaves him in limbo -- invisible to the living and also near death -- a teenager discovers the only person who might be able help him is his attacker.,2007-04-27,-11.898073685851305
"4 Months, 3 Weeks and 2 Days",2009,Drama,"Hubert Bals Fund of the Rotterdam Festival, The",852510,1185783,"Gabita is pregnant, abortion is strictly forbidden in Romania during the communist regime. Despite this it is common practice and Gabita wants an abortion. The movie follows her and her friend Otilia during the day she has made the appointment with Mr. Bebe to have the abortion.",2007-08-24,28.105732667781542
Waitress,10758,Comedy,Night and Day Pictures,2000000,22179430,"Jenna is a pregnant, unhappily married waitress in the deep south. She meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness.",2007-05-25,90.9826357124597
You Kill Me,8141,Comedy,Independent Film Group,4000000,2426851,"While drying out on the West Coast, an alcoholic hit man befriends a tart-tongued woman who might just come in handy when it's time for him to return to Buffalo and settle some old scores.",2007-02-09,-64.82264465350366
Jab We Met,11807,Drama,Shree Ashtavinayak Cine Vision,2300000,4600000,"Depressed after the passing of his father, Dharamraj; as well as his gorgeous girlfriend ditching him, Mumbai-based businessman Aditya Kashyap takes a BEST bus, goes to Chatrapati Shivaji Train Terminus, and boards a train. This is where he meets Geet Kaur Dhillon, who is returning home to Bhatinda, and who pays for his ticket. At Bar Nagar, he decides to leave, but she follows him, missing her train. They manage to get a ride to Ratlam, miss the train again, but eventually make it to Bhatinda. Once there, he gets to meet her family; her pretty sister, Roop; as well as her to-be betrothed, Manjeet Singh Mann. Before the engagement could be finalized, she manages to convince her family that she wants to marry Aditya, and they welcome him with open arms. Before he could take stock of these new developments, she elopes with him - not to get married - but to re-locate to Manali - where her true love, Anshuman, is waiting, and who she hopes to get married to.",2007-10-26,50.0
Premonition,9963,Thriller,TriStar Pictures,20000000,84146832,"A depressed housewife who learns her husband was killed in a car accident the day previously, awakens the next morning to find him alive and well at home, and then awakens the day after to a world in which he is still dead.",2007-02-08,76.23202261494527
Nobel Son,15676,Comedy,Gimme Five Films,4000000,333912,"Soon after his insufferably arrogant father wins the Nobel Prize for chemistry, Barkley Michaelson is kidnapped by Thaddeus James, a young genius who claims to be Barkley's illegitimate half-brother. Motivated not so much by money as revenge, Thaddeus tries to convince Barkley to help him carry out a multimillion-dollar extortion plot against their patriarch.",2007-04-28,-1097.9204101679484
The Messengers,9966,Mystery,Screen Gems,16000000,1109660,"When the Solomons trade in the craziness of big-city life for the quiet of a North Dakota farm, little do they expect the nightmare that follows. Soon after arriving, teenage Jess (Kristen Stewart) and her younger brother see terrifying apparitions and endure attacks from a supernatural source. Jess must warn her disbelieving family before it is too late to save them.",2007-02-02,-1341.883099327722
Dragon Wars: D-War,10253,Fantasy,Showbox Entertainment,70000000,53587404,"Based on the Korean legend, unknown creatures will return and devastate the planet. Reporter Ethan Kendrick is called in to investigate the matter...",2007-02-08,-30.627712437796017
Captivity,14125,Crime,Captivity Productions,17000000,2626800,"The sought-after images of top model, Jennifer, adorn magazine covers and billboards worldwide. When alone at a charity event, she is abducted and incarcerated in a cell with another prisoner. When their captor subjects the two to torture, and commit to escaping the chamber of horrors before they're killed.",2007-03-09,-547.1752702908482
December Boys,4629,Drama,Village Roadshow Pictures,4000000,46474,"For many years, four teenage orphans at an Australian outback convent have watched their younger comrades find new parents, and realize that they may never be adopted. The Reverend Mother sends the four boys away on a seaside vacation, where they meet Teresa and Fearless, a couple who would make perfect parents. The youths compete with one another to be the one Teresa and Fearless decide to adopt.",2007-09-20,-8506.963033093773
Vacancy,10294,Horror,Screen Gems,19000000,35300645,"A young married couple becomes stranded at an isolated motel and find hidden video cameras in their room. They realize that unless they escape, they'll be the next victims of a snuff film.",2007-04-20,46.17662085211191
Halloween,2082,Horror,Dimension Films,15000000,80253908,"After being committed for 17 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution (where he was committed as a 10 year old) and he immediately returns to Haddonfield, where he wants to find his baby sister, Laurie. Anyone who crosses his path is in mortal danger",2007-08-31,81.3093214102421
Twilight,8966,Adventure,Twilight Productions,37000000,392616625,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",2008-11-20,90.57604858174307
Iron Man,1726,Action,Paramount,140000000,585174222,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",2008-04-30,76.07550115220215
The Incredible Hulk,1724,Science Fiction,Marvel Studios,150000000,163712074,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",2008-06-12,8.375725543615067
WALL·E,10681,Animation,Pixar,180000000,521311860,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",2008-06-22,65.47172358595486
The Dark Knight,155,Drama,DC Entertainment,185000000,1004558444,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-16,81.58394853928479
Quantum of Solace,10764,Adventure,Eon Productions,200000000,586090727,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",2008-10-30,65.87559045273889
Indiana Jones and the Kingdom of the Crystal Skull,217,Adventure,Paramount,185000000,786636033,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",2008-05-21,76.48213503588642
Body of Lies,12113,Action,Scott Free Productions,70000000,113280098,"The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris.  At the other end of that real-time link is the CIA’s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.",2008-10-10,38.20626814782593
Taken,8681,Action,Wintergreen Productions,25000000,226830568,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",2008-02-18,88.97855777533475
The Chronicles of Narnia: Prince Caspian,2454,Adventure,Walt Disney Pictures,225000000,419651413,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",2008-05-15,46.38407186776231
Cloverfield,7191,Action,Paramount,25000000,170764026,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",2008-01-15,85.35991415428447
Kung Fu Panda,9502,Adventure,DreamWorks Animation,130000000,631744560,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",2008-06-04,79.42206261340819
Madagascar: Escape 2 Africa,10527,Family,DreamWorks Animation,150000000,603900354,"Alex, Marty, and other zoo animals find a way to escape from Madagascar when the penguins reassemble a wrecked airplane. The precariously repaired craft stays airborne just long enough to make it to the African continent. There the New Yorkers encounter members of their own species for the first time. Africa proves to be a wild place, but Alex and company wonder if it is better than their Central Park home.",2008-10-30,75.16146513138159
Justice League: The New Frontier,14011,Action,Warner Bros. Animation,3500000,5231128,"The human race is threatened by a powerful creature, and only the combined power of Superman, Batman, Wonder Woman, Green Lantern, Martian Manhunter and The Flash can stop it. But can they overcome their differences to thwart this enemy using the combined strength of their newly formed Justice League?",2008-02-26,33.092824339224734
